"","text"
"1","  bigger    harder  fall   saying means   powerful people     suffer   experience defeat  "
"2"," maybe  natural    red vines uf"
"3","  karl manages  right  wrongs  instead  making present dsmp better  makes  worse  changes  much   timeline changes peoples fates  causes  natural   something  occur similar  video game life  strange talesfromthesmp"
"4"," none    movies      make  sense  changed  many details  origins  characters   important   stories   made  sense   honestly  weird  times"
"5"," life isnt always    think    hills  valleys  life   flat line  would get bored  need challenges  need joy    times need   sad"
"6","                       larsson      ufuffcuduufef"
"7","  recipe    "
"8"," yes  need grounded  moral conservatives  lead  country away     please run"
"9"," shocking pictures taken moments   strikes"
"10","   thats true   recent one  fired  biden   exactly  little  fauci  mitigate    stand   trump"
"11","  bidenharris     usuk relations    confirmed demise   us  china  makes canzuk  likely  desirable"
"12","sadly great scientist  bad political leadership still creates  human  "
"13","  anyways ya  dunno   zoroark tho maybe  seconds  "
"14","  think therapists    find  right one   really help   sort  thinking life      doesnt   get us  lt lt lt  thats  joke  really   joke  really hard   pleasant    characters dang twitter"
"15","     events   future  could  considered  rapture   final rupture  climate     loose   matter  shape  rupture takes  scotty already thinks  climate issues   sign   rupture hence     nothing"
"16","  beginning  every  movie   always scientists warning   danger   ignored   harvard scientist warned  coronavirus could   thermonuclear pandemic     ignored  "
"17"," unsurprising   painful   individuals  want  reproduce  serves us right     agents  destruction    species  negative impact   species amp  biodiversity   concerning  "
"18","lyrics  remember    need  save   whos going  save     going  save   wants  prevent   wants  steer people   right direction    cost   memory  also associate  song w ghostburfundy  shhh"
"19","      obviously thats  america fucked   test anyone   reason  combined  poor pcr metrics   recipe  "
"20","       type  stuff  need   aware   likely    whole batch  bs  recycled"
"21","   course thats drivel  bet  doesnt get  early like trump    hasnt   cope   real  thats started   watch  next four years  going   like  tortoise   hare hes   office  doesnt  much"
"22","sell  mantra niftyfuture banknifty   big big negative news  fiis  fpis coming  budgeday  "
"23","  think   cease  exist  offer nothing  society except  incredibly horny  hope  never end  like   matter  bad things  going      complete  utter  j"
"24","got  back     absolute fucking "
"25","  last image moments  "
"26","randomly thought   jessica simpson supposedly turned  rachel mcadams role  thenotebook thank god   would    chernobyl  cinema    "
"27","   wasnt  ratings    paychecks  demanded   radio show hosts become trump shills  still    result  left   unceremoniously dumped  saw trump  coming  mile away    dropped"
"28"," father invented vaping   dont want another nuclear  attached   emmerich name"
"29","theres   reason   one voted  biden  media  theres  one reason  people dont realize  biden        days set  pathway   destruction  america  media  biden sucks  communism sucks wake  f  impeachbiden"
"30","    reckon  ten times  death rate   neighbours  watching  national  play  would make people  normal mind  emotional state consider taking steps    would   shrug  shoulders   care"
"31"," itll   complete   food"
"32","  never consider    star wars movies   never include    watch  saga hopefully mandalorian stays true  far  fuck away  kathleen  ryans fucking   sad excuse   film  condolences   actors    star  "
"33","uu rescinds trump order keeping china   american power grid  would  american allow ccp   tent   taking care   pimps      americans amp   worth however much   biden family makes "
"34"," know  hot  make  heart beat faster emotional earthquake bring    hit  head  got  weak   knees yeah something inside   changed ufb"
"35"," mcconnell put unqualified people  judges  court looks like  pattern  "
"36","  anc must institute  disciplinary hearing  mpumalanga premier    unacceptable     break   management regulations    stella ndabeni  charge  holy cows"
"37","top ten pictures taken seconds   talesofthesmp "
"38","    st    dont know wtf   talking  nd godzilla literally saved  world     help   titans kong    big ape   kidnapped   home   gaga   blonde female put  respect  zillas name"
"39","    thats unlikely   true oh  god   go    strikes  waaaay  late js"
"40","  thanks   reporting  two observations  fauci  tape predicting  trump would face pandemic fauci used  scare scenario  playbook  aids  first unveiled  society   years ago  sadly trump listened   man     unmitigated "
"41"," well thats  massive     dont think  ever saw  trailer even"
"42"," complete massacre  horror film inside brazils covid  "
"43","  long would  take  uk politicians  realize uks economic structure  similar   us  hence   structural competitor  case  china  economic strucutre  mutual compatible  uk hence   structural partner uk leads     leadership"
"44"," honor   uf"
"45","   xenophobia   controlling covid  total   last year new strains  popping    countries    contagious   old strain thats science"
"46"," president  mexico   coviddenying piece  shit      covid amlo   goddamn     vote   next election even    pri muppets would  least acknowledge  severity  covid   efficacy  masks  prevention"
"47","gnollbolds  born entrepreneurs  usually run food vendor carts  big cities  rush around  various events  crowded gatherings theyre  first ones  site    selling food  people  generally   nuisance"
"48","   risky bank ever     proposals   traps  seize money   customers   management  sort    created   devious employees takaful pharmaceutical   "
"49","                     risky bank ever     proposals   traps  seize money   customers   management  sort    created   devious employees takaful pharmaceutical   "
"50","tomorrow  gonna   fucking    gotta   alone terrified  please send prayers"
